"id";"question_id";"user_id";"details";"date_modified"
"13";"6";"5";"A ma connaissance, la composition de Picot AR n'a pas changé, il est toujours épaissi avec de la caroube.<br />
Chaque firme cherche à montrer que son lait épaissi est meilleur que les autres. Il n'y a pas pour moi suffisamment d'arguments pour soutenir l'un par rapport à un autre.<br />
L'autre question posée concerne la comparaison entre caroube et amidon (voire les 2 réunis comme dans Novalac AR+). Il est sûr que certains enfants ont des selles plus molles et plus fréquentes avec la caroube mais non seulement ce transit reste toujours dans les normes physiologiques, mais surtout cet effet indésirable bénin est loin d'être systématique. Une revue succincte de la littérature est résumée dans l'article joint.<br />
Donc tous les laits épaissis se valent en terme de traitement des régurgitations.";"2020-04-10 17:54:20"
"16";"9";"2";"Le diabète peut se révéler par un retard pondéral, mais possiblement la maladie cœliaque était déjà latente. l'association de plusieurs maladies auto immunes est assez classique et au diagnostic puis tous les ans un dosage des IgA anti TG est conseillé dans le diabète de type I. Malheureusement le petit patient rentre dans les 2 pathologies quasi en même temps. Avec des IgA anti Tg > 10 N, il suffit de doser les IgA anti endomyisum (EM) pour faire le diagnostic sans avoir à faire une biopsie (en profiter pour refaire le dosage des IgA anti TG). Si les Ig A anti EM sont élevéés, c'est une maladie coeliaque : pas besoin de faire de biopsie. Selon les dernières recommandations de début 2020 le typage HLA DQ2 ou 8 n'est plus nécessaire (cf biblio). Il faut faire un bilan hépatique pour voir s'il n'y a pas de risque de pathologie hépatique et doser les ac anti TPO pour la thyroidite (plus fiable que TSH). Un régime sans gluten est donc à proposer chez ce patient ainsi qu'un suivi gastro pédiatrique spécialisé une fois par an (pas de gastro pédiatre à KB). Une consultation avec une diététicienne est à organiser le plus vite possible.";"2020-04-10 20:49:17"
"17";"9";"40";"Merci beaucoup, c'est parfait ! c'est exactement la réponse que je cherchais.<br />
Bon WE";"2020-04-10 21:49:57"
"18";"9";"2";"you are welcome";"2020-04-11 13:30:45"
"19";"10";"2";"l'enfant est il toujours allaité au sein ou en allaitement mixte ?<br />
dans la diversification y a t'il des laitages ?<br />
en fonction je vous proposerai une conduite à tenir";"2020-04-11 13:34:22"
"20";"10";"56";"l'enfant bénéficie d'un allaitement mixte désormais, mais la constipation a débuté dès la diversification alimentaire et avant l'introduction du lait artificiel.<br />
La diversification comprend des laitages.<br />
J'ai mis un traitement laxatif sur plusieurs semaines mais je ne sais si cela est la bonne conduite.";"2020-04-11 14:15:56"
"21";"10";"2";"la constipation chez un enfant allaité au sein exclusivement est classique : le transit varie normalement de 8 selles par jour à 1 tous les 10 jours !!!!<br />
quand elle survient lors d'allaitement mixte on suspecte toujours une APLV mais si pas d’eczéma, perte de poids, fissures anales, c'est peu probable <br />
l'absence de ballonnement et de perte de poids exclue la maladie de Hirschsprung qui peut être décaler en cas d'allaitement maternel<br />
le plus souvent, il s'agit d'un transit qui est perturbé physiologiquement devant l'exposition à plusieurs types d’alimentation. Cela s'amende en quelques semaines le plus souvent avec un traitement laxatif comme vous l'avez remarquablement fait. Le macrogol est classiquement déconseillé avant 6 mois ...mais à 5 mois ..<br />
voici un algorithme simple<br />
";"2020-04-11 15:48:07"
"23";"7";"16";"trouver l'hélicobacter pylori (HP) à la biopsie c'est le traiter, même si dans ce cas, le traitement de l'infection à HP n'est absolument pas synonyme de la rémission des douleurs épigastriques (vous avez dosé la lipasémie ?). Il faudra également 15 jours après le traitement vérifier par des tests non invasifs l'efficacité du traitement (par Helikit* ou recherche Ag monoclonal HP dans les selles). Le traitement actuel est 15 jours IPP, clarithromycine amoxicilline. Si résistance connue, on propose le flagyl* à la place de la clarithromycine (cf référence).<br />
Une fois le traitement prescrit et l'éviction de HP contrôlée, malheureusement les épigastralgies peuvent persister...Il faudra alors prendre en charge ces dyspepsies non ulcéreuses si difficiles à prendre en charge";"2020-04-11 22:03:00"
"24";"14";"1";"Bien qu'une cause infectieuse soit supposée dans 10 à 15% des pancréatites aiguës de l'enfant (Randall, 2019), il n'y a pas de recommandations pour rechercher systématiquement ces causes en cas de premier épisode chez l'enfant.<br />
Les causes infectieuses les plus communes sont (Rawla, 2017) <br />
- pour les virus : hépatites virales, Coxsackies, CMV, HIV, HSV, VZV, EBV, oreillons<br />
- pour les bactéries : Mycoplasma pneumoniae, Mycobacterium tuberculosis, salmonelle et leptospirose <br />
- pour les parasites : Ascaris lumbricoides ";"2020-04-12 11:25:41"
"25";"12";"5";"Pour être simple, la méthode de prévention des caries la plus efficace et la moins risquée (en terme de fluorose dentaire) reste une bonne hygiène bucco-dentaire, précoce, utilisant un dentifrice adapté à l'âge.<br />
La supplémentation fluorée médicamenteuse doit être exclusivement réservée aux enfants dont on sait qu'ils n'auront pas une bonne hygiène bucco-dentaire (familles précaires, handicapés). Mais elle doit être proscrite pour tous les autres pour éviter la survenue d'une fluorose dentaire (tâches colorées indélébiles au niveau des dents, surtout des incisives).<br />
Les références jointes vont dans ce sens et donnent davantage de précisions si besoin. Celles de la HAS sont anciennes, elles doivent être nuancées par la dernière publication de l'association européenne de pédontologie.";"2020-04-12 12:25:44"
"26";"12";"62";"Merci beaucoup Marc ! Je n'avais pas ces recos européennes. Je m'étais basée sur celles de l'HAS et les plus anciennes pour un travail à la faculté que j'ai rendu.<br />
En tout cas , format clair et précis du site  !<br />
Merci ";"2020-04-12 12:38:17"
"27";"12";"5";"Ce n'est pas Marc qui a répondu mais Patrick Tounian.<br />
Marc coordonne l'ensemble avec beaucoup de brio mais nous sommes plusieurs à répondre. je suis principalement chargé des questions de nutrition.<br />
Bon dimanche pascal. ";"2020-04-12 12:41:55"
"28";"12";"62";"Ok je ne savais pas,  merci Mr Tounian <br />
Bon dimanche également.  <br />
";"2020-04-12 12:50:59"
"29";"17";"1";"Votre sujet d'étude est tout à fait indiqué justement dans le mesure ou la preuve scientifique de l'effet (ou du non effet) du bethanechol dans le traitement du RGO de l'enfant manque cruellement, d'autant plus que les autres prokinétiques ne sont (presque) plus disponibles, du moins en France.<br />
On ne dispose en effet que de 3 essais cliniques méthodologiquement critiquables - en particulier à cause de faibles effectifs - et anciens (Euler AR. J Pediatr 1980 ; Levi P et al., Helv Paediatr Acta, 1985 et Orenstein et al., JPGN, 1986) aux conclusions contradictoires. <br />
C'est pourquoi l'ESPGHAN ne recommande pas ce traitement pour le RGO de l'enfant (voir réf)<br />
<br />
<br />
";"2020-04-12 15:09:40"
"30";"22";"2";"c'est parfait j'ai eu ta question en bonne et du forme";"2020-04-12 18:34:17"
"31";"13";"2";"le premier impératif est la certitude diagnostique. Il est donc indispensable d'effectuer une endoscopie avec biopsie et antibiogramme pour identifier et traiter au mieux cet infection. En fonction du caractère de résistance du germe le schéma thérapeutique est variable mais doit comporter 14 jours de traitement à bonne dose avec un contrôle par méthode non invasive par Hélikit* ou recherche d'Ag soluble dans les selles. La probabilité de récidive après ce traitement est faible mais possible soit par une réinfection soit par une résurgence. Un guide pratique a été établi par al société européenne et traduite par le Pr Kalach pour le compte du GFHGNP que vous avez en document joint";"2020-04-12 18:53:04"
"32";"20";"2";"les coliques du nourrisson sont définit selon les critères de ROME 4. La prise en charge en tient pas assez en compte les répercussions observées sur l'ensemble de la famille. Un score a été validé dans la littérature (cf référence). En consultation, il n'est pas aisé de l'utiliser. Nous avons développé un score (en cours de publication) déjà présenté en communication orale lors d'un précédent congrès du GFHGNP. Il est très facile d'accès. Il vous suffit de vous connecter sur https://coliq.net/ . Le Colic Infant Questionnaire permet d’apprécier la sévérité du TFI, de le suivre avec les parents et de le quantifier, permettant ainsi une prise en charge conjointe entre le médecin et les parents.";"2020-04-12 19:02:24"
"33";"18";"2";"le traitement des coliques est multifactoriel et nécessite une prise en charge globale du nourrisson et de sa famille souvent en détresse. En adjonction à cette guidance parental, il est recommandé de proposer divers traitement. Parmi les probiotiques, le Biogaia* a indiscutablement le niveau de preuve le plus élevé avec une méta analyse favorable chez le nourrisson allaité au sein (V gouttes par jour pendant 21 jours). Parmi la phytothérapie le niveau de preuve est moindre avec quelques indices favorable pour les préparations à base de fenouil comme la calmosine*.";"2020-04-12 19:14:39"
"34";"16";"2";"le diagnostic d’œsophagite à éosinophile est anatomopathologique. Le traitement est basé sur les 3D : Drugs, Diet, Dilatation. Le traitement par IPP est indiscutable et par corticoïdes ingérés intéressant. L'approche diététique est variable selon les équipes. Le traitement par nutrition élémentaire (amino-acides) exclusive est très efficace mais difficile à mener en pratique au long cours. Les tests cutanés ou par patch n'ont pas fait la preuve de leur intérêt dans l'orientation du régime approprié et ne sont donc pas utiles. Le traitement actuellement le plus consensuel est le 2-4 -6 ""elimination diet"". On exclut d'abord le lait et le blé, puis en cas d'échec l'oeuf et les légumes et enfin si nécessaire les fruits à coques et les produits de la mer. Le taux de rémission est alors respectivement de 43%, 60% et 79%.";"2020-04-12 19:31:25"
"35";"16";"65";"Merci beaucoup pour ces précisions ";"2020-04-12 19:40:00"
"36";"16";"2";"a votre disposition<br />
on travaille pour";"2020-04-12 20:00:28"
"37";"18";"69";"Merci de ce retour très complet et utile";"2020-04-12 20:53:31"
"38";"24";"2";"l'infection est moindre chez l'enfant par rapport à l'adulte en terme de gravité. Toutefois, l'atteinte peut revêtir des formes asymptomatiques, pauci symptomatiques et rarement sévère. Sur une série de plus de 2000 enfants, l'atteinte peut être uniquement digestive avec diarrhée, vomissement ou nausées sans symptômes respiratoires (4%). Cette atteinte donne des formes modérées. Enfin quand l'enfant est atteint de maladies digestives antérieures (MICI, coeliaque, etc..), il est important de poursuivre le traitement classique sans avoir peur d'acutisation.";"2020-04-13 11:07:01"
"40";"15";"3";"Bonjour<br />
Une douleur en FID chez  une jeune fille de 13 ans doit faire évoquer une appendicite aiguê, une infection urinaire, une torsion d'annexe, une MICI.<br />
Dans ce contexte, une échographie abdominale peiut être prescrite, ainsi qu'un bilan sanguin NFS, plaquettes, CRP, ECBU (voire calprotectine fécale si dpoute sur une MICI) afin d'orienter le diagnostic.<br />
Dans le cas d'une adénite mésentérique, l'échographie retrouvera 3 adénopathies de plus de 8mm de grand axe sans autre anomalie, avec un bilan sanguin normal, chez un enfant asymptomatique par ailleurs et sans altération de l'état général.<br />
La prise en charge repose sur<br />
1. La réassurance : expliquer clairement de quoi il s'agit, que toute infection peut entrainer ce tableau, que c'est fréquent chez l'enfant et sans gravité, que l'évolution va être spontanément favorable en 2 à 4 semaines.<br />
2. un traitement médicamenteux antalgique (paracétamol, niveau 2) et une bonne hydratation<br />
3. Ne pas hésiter à revoir l'enfant pour réassurance et ainsi éviter une chirurgie non nécassaire.";"2020-04-13 11:46:02"
"41";"21";"3";"La vaccination contre le pneumocoque chez les patients sous biothérapie <br />
<br />
- chez les nourrissons de moins de 2 ans ayant reçu une vaccination (soit : vaccination par le vaccin conjugué 13-valent (Prevenar13®) à M2, M3, M4 et un rappel àM11) puis une dose de vaccin polyosidique non conjugué 23-valent (Pneumo23®)après l’âge de 2 ans,<br />
<br />
- chez les enfants âgés de 2 ans à 5 ans et non préalablement vaccinés : vaccination par 2 doses de Prevenar13®administrées avec un intervalle de 8 semaines suivies d’une dose de Pneumo23®au moins 2 mois après la 2ème dose dePrevenar13®.<br />
<br />
- chez les enfants de plus de 5 ans et les adultes<br />
              •non   préalablement   vaccinés   ou   vaccinés   depuis   plus   de   3   ans   par   lePneumo23® : une dose de Prevenar13®puis une dose de Pneumo23® au moins 2 mois après. <br />
               •vaccinés depuis moins de 3 ans par Pneumo23® : attendre un délai de 3 ans après la vaccination Pneumo23® pour vacciner avec une dose de Prevenar13®puis une dose de Pneumo23® au moins 2 mois après ";"2020-04-13 12:06:59"
"42";"19";"5";"Qu'appelez-vous RGO manifeste ?<br />
Si ce sont des régurgitations, vous lui donnez un lait épaissi si ce n'est déjà fait.<br />
Pour tout autre signe (pleurs, toux, etc.), il faut évoquer un autre diagnostic que le RGO.<br />
En bref, aucune molécule n'est nécessaire, et surtout pas les IPP.<br />
Je vous joins les dernières recommandations de la société européenne de gastroentérologie pédiatrique, bien qu'elles soient bien trop permissives à mon avis. Elles insistent effectivement sur l'inefficacité des IPP dans la majorité des complications attribuées (à tort) au RGO, mais les préconisent néanmoins en traitement d'épreuve.";"2020-04-13 12:29:21"
"43";"24";"61";"Merci a vous.";"2020-04-13 12:50:22"
"44";"23";"1";"Bonjour,<br />
Le dépistage prénatal de la maladie de Hirschsprung (MH) n'est pas chose aisée ... Quelques éléments de réponse cependant :<br />
- Tout d'abord la génétique. Il existe une prédisposition génétique retrouvée dans environ 50% des cas (Tilghman, 2019). Par exemple le fait d'être un garçon, d'avoir une T21, d'avoir une mutation hétérozygote du gène RET augmente le risque de développer la maladie d'un facteur 4, 50-100, et 3000 respectivement. (Heuckeroth, 2018). Le problème est que la pénétrance de la maladie est incomplète comme en témoigne une publication qui rapporte un diagnostic prénatal par amniocentèse (obtenu pour âge maternel avancé) dans une famille avec une mutation RET délétère connue (père avec MH à segment long et fille aînée avec aganglionose colique totale). Le fœtus avait le même variant RET mais après plusieurs années de suivi, n'a présenté aucun symptôme de MH (Yang W, et al., Neurogastroenterol Motil. 2019:e13665)<br />
- Ensuite l'imagerie. On retrouve quelques observations d'échographies anténatales retrouvant une dilatation des anses intestinales mimant une obstruction intestinale et un intestin hyper-échogène pouvant refléter la présence de méconium en raison de l'hypo-motilité de l'intestin, mais ces 2 signes ne sont pas spécifiques de la MH. Une publication a mémé observé un 'calibre change sign' avec un intestin dilaté de 2 cm de diamètre suivi d'un intestin rétrécit, pouvant être plus spécifique (PJ).<br />
- Pour finir, il n'y a pas à notre connaissance de marqueurs biologiques prénataux de MH chez le foetus.<br />
Enfin, le dilemme éthique de réaliser un dépistage prénatal reste entier car il s'agit d'une maladie essentiellement curable chirurgicalement. Cela pourrait être néanmoins utile pour les formes coliques totales qui sont plus difficiles à diagnostiquer en période néonatale et d'un pronostic plus sombre avec parfois une insuffisance intestinale en cas de maladie remontant sur le grêle.<br />
Pour l'instant il n'a donc pas de recommandations de dépistage anténatal de maladie de Hirschsprung, mais un conseil génétique avisé peut être utile dans les familles à risque.<br />
PS : je ne peux joindre qu'une référence sur ce site. Connaissant votre appétence pour l'imagerie médicale j'ai mis celui avec des images échographiques. Les autres papiers peuvent être envoyé par mp si besoin ;-)";"2020-04-13 13:15:41"
"45";"23";"73";"Merci beaucoup pour cette réponse documentée et actualisée +++<br />
très bonne journée";"2020-04-13 13:35:42"
"46";"24";"2";"bon lundi pascal";"2020-04-13 13:57:39"
"47";"18";"2";"a tres bientot";"2020-04-13 13:58:09"
"48";"19";"64";"Merci pour votre réponse ";"2020-04-13 15:49:23"
"49";"26";"2";"effectivement parmi les IPP, seuls l'esomeprozole (inexium*) et l'omeprazole ont l AMM au dessus d'un an et aucun en dessous d'1 an. Toutefois cette prescription est utile et légitime chez le petit nourrisson si elle le fruit d'une réflexion et d'un suivi. La dose d'1 mg/kg/j est classiquement recommandée. Donc au delà de 5 KG, passons à un sachet de 10 mg par jour. Toutefois en clinique, une augmentation de posologie semble avoir un effet majoré. Ceci est maintenant bien expliqué par les variants génétiques CYP2C19 and STAT6. Ainsi chez l'enfant obèse, les doses peuvent varier d'un enfant à un autre de 3 à 5 fois ! (V Shakhnovich Paediatr Drugs 2018, 20, 483-495, A Population-Based Pharmacokinetic Model Approach to Pantoprazole Dosing for Obese Children and Adolescents). Les effets secondaires dépendent également de ces variants (Christiana J CYP2C19 Phenotype and Risk of Proton Pump Inhibitor–Associated Infections Pediatrics 2019, 144)<br />
La prise avant le repas du matin semble optimal (pas d'étude clinique, conseil pharmacocinétique). Les recommandations sont récentes et insistentsur l'importance de réévaluer toujours l'efficacité du traitement après 4 à 8 semaines de traitement.";"2020-04-13 19:11:50"
"50";"29";"1";"Bonjour,<br />
En 2016, après une analyse de la littérature, l'ESPGHAN a conclu que 2 souches probiotiques peuvent être utilisés dans cette situation : le Lactobacillus rhamnosus GG (plutôt à une dose de 10^10 CFU/j) et Saccharomyces boulardii à la dose de 250-500mg/j, avec une réduction de 10 à 20% d'occurence diarrhée associée aux AB et un NNT de 8 à 9. (Szajewska et al., JPGN, 2016).<br />
En revanche, l'hétérogénéité des études ne permet pas de recommander de façon claire la durée de la supplémentation. Nous proposons (avis d'expert) de débuter le probiotique en même temps que le traitement AB et de le poursuivre 7 à 15 jours après l'arrêt.<br />
";"2020-04-14 11:00:07"
"52";"28";"1";"Bonjour,<br />
La constipation de votre fils est très probablement d'origine fonctionnelle, les causes organiques se voyant essentiellement en période néonatale ou en contexte particulier (malformations, troubles hydro-electrolytiques ou endocriniens, pathologie neuro-musculaire ou prise médicamenteuse). La maladie coeliaque était en effet à éliminer dans ce contexte (IgA anti-transglutaminases normales avec un taux d'IgA totales normal).<br />
A noter que l'APLV pourrait être une cause de constipation chez le petit nourrisson (même si c'es très débattu), mais ne peut en être la cause à 4 ans (Tabbers et al., JPGN, 2014).<br />
Une carence martiale touche à peu près 10-15% des enfants de moins de 4 ans (Domellöf et al., JPGN, 2014) et est donc probablement une association fortuite avec la constipation de votre enfant.<br />
Je vous ai mis par ailleurs en PJ des recommandations récentes pour la prise en charge de la constipation de votre enfant. Je reste à votre disposition si besoin.<br />
Bien cordialement";"2020-04-14 15:42:33"
"53";"28";"78";"Merci pour votre réponse <br />
T";"2020-04-14 15:46:52"
"54";"32";"3";"Bonsoir  Sandrine<br />
<br />
La question posée est celle d'une RCH avec recto-sigmoidite persistant malgré un traitement par imurel bien conduit (6TGN OK) depuis plus de 1 an chez une patiente prépubère avec stagnation pondérale. Bilan infectieux négatif (CMV, toxine de clostridium difficile?).<br />
Dans ce contexte, échec de l'imurel après 1 an de traitement bien conduit et surtout stagnation pondérale, il existe une indication à la mise sous anti-TNF, après un bilan pré-antiTNF (quantiféron BK, rx thorax).<br />
Le temps de récupérer les résultats de ce bilan préthérapeutique, voire de mettre à jour les vaccinations, un traitement local par 5-ASA peut être tenté (et doit donner des résultats dans les 15 jours).<br />
L'evaluation de l'efficacité se fera sur le score clinique PUCAI, le bilan sang (NFS, CRP, albumine, ferritine), l'évolution staturopondérale.<br />
<br />
Amicalement<br />
";"2020-04-14 21:01:52"
"55";"32";"98";"merci !";"2020-04-14 21:19:11"
"56";"33";"3";"Suite de la première réponse<br />
l'évaluation se fera en plus sur la calprotectine: après mise sous biothérapie: la baisse de la calprotectine à J15 est prédictif d'une rémission endoscopique.";"2020-04-14 21:37:29"
"57";"32";"3";"j'ai fait un complément de réponse avec la calprotectine.<br />
Ai je répondu à ta question?";"2020-04-14 21:39:52"
"58";"32";"98";"Je ne vois pas ton complément de réponse..   ";"2020-04-14 22:49:30"
"59";"33";"98";"désolée je viens de la voir...il fallait cliquer sur chaque onglet de la réponse...ok parfait!";"2020-04-14 22:50:55"
"60";"31";"1";"Bonjour,<br />
Les troubles digestifs sont présents avec une incidence de 3% à 79%. La fréquence des  différents symptômes est la suivante : anorexie 40% - 50%, diarrhée 2% à 50%, vomissements 3% à 66%, nausées 1% à 30%, douleurs abdominales 2% à 6,0% et saignements gastro-intestinaux 4% -14%.<br />
La durée moyenne de la diarrhée est de 4.1 ± 2.5 jours mais pouvant aller de 1 à 14 jours. La diarrhée peut être le premier symptôme de la maladie, dans 10% des cas environ (D'Amico, Clin Gastroenterol Hepatol. 2020). <br />
Par ailleurs, la présence d'une diarrhée a été associée dans certaines études à un pronostic moins favorable et à une excretion virale dans les selles plus prolongée.<br />
Bien cordialement";"2020-04-15 10:50:18"
"63";"27";"5";"Il est probable que les conséquences soient minimes, surtout si l'enfant n'était pas allaité.<br />
Je vous conseille de doser la 25OHD chez l'enfant. Si elle est inférieure à 30 nmol/l, une supplémentation de 2000 UI/j pendant 1 à 3 mois est justifiée avant de reprendre la prophylaxie habituelle. Si elle est supérieure à 30 nmol/l, une supplémentation de 400-600 UI/j suffit.<br />
Je vous joins les recommandations internationales, à préférer aux recommandations françaises qui vont être bientôt réécrites par un groupe d'experts.";"2020-04-15 16:01:46"
"64";"35";"5";"Il s'agit soit d'une forme latente, soit d'un diagnostic différentiel.<br />
Je commencerais donc par rechercher le groupe HLA, s'il n'est ni DQ2, ni DQ8, la forme latente peut être raisonnablement exclue (même si ce n'est pas du 100%). Dans le cas contraire, l'ESPGHAN recommande de réévaluer régulièrement. Je la surveillerais donc cliniquement et biologiquement (ferritinémie ++) et si un nouveau signe apparait (douleurs abdominales exclues), je redoserais les IgA ATG, sinon, je ne surveillerais plus la sérologie.<br />
Quant aux diagnostic différentiels (autres pathologies auto-immunes, cancers, pathologies hépatiques et infectieuses), d'autres signes devraient orienter le diagnostic. Dans ces cas, les IgA anti-endomysium sont habituellement négatives. Comme elle ne semble pas avoir de signes d'orientation vers ces diagnostics, là encore une simple surveillance clinique suffit.";"2020-04-15 16:28:51"
"65";"34";"3";"Hello Sandrine<br />
Peu d'études comparatives, et peu de différence entre lavements betnesol/5 asa<br />
Peu de passage systemique du betensol mais quand meme un peu<br />
dans ce contexte de stagnation pondérale (staturale?) peut etre préférer 5 asa<br />
<br />
Bises";"2020-04-15 21:01:16"
"66";"34";"98";"merci !!!";"2020-04-15 23:55:42"
"67";"34";"3";"????????";"2020-04-16 07:36:31"
